uniqueCell_ID,POINT_X,POINT_Y,country,countryGID,GID_1,province,lcc2000,lcc2005,lcc2008,lcc2011,lcc2014,suitability,treecover,acc_min,urban
154,101.017119123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.0013552923919633,16.0910911560059,22.9000587463379,0
155,101.019299123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00133478443603963,3.45469522476196,17.82204246521,0
156,101.021479123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00135085801593959,1.09781563282013,14.4637298583984,0
157,101.023659123,22.578806619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00145383877679706,0.0346261002123356,14.3302764892578,0
158,101.025839123,22.578806619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.00155681965406984,0,14.1968221664429,0
159,101.028019123,22.578806619,China,CHN,CHN.30_1,"",5,5,8,8,8,0.0016598004149273,0,14.0633678436279,0
160,101.030199123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00167698506265879,0.466449856758118,15.9852857589722,0
161,101.032379123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00159880996216089,6.78532457351685,19.765567779541,0
162,101.034559123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00152063486166298,19.4689502716064,23.5458507537842,0
163,101.036739123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00144245976116508,25.7626266479492,27.3261318206787,0
164,101.038919123,22.578806619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00134534714743495,19.4113216400147,32.5299339294434,0
165,101.041099123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00123808113858104,18.3670330047607,38.3364677429199,0
166,101.043279123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.0011308150133118,47.1636352539063,44.1429977416992,0
167,101.045459123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00102354888804257,75.9804916381836,49.9495277404785,0
168,101.424779123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00156212563160807,56.5508460998535,137.575393676758,0
169,101.426959123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00145324785262346,50.8620910644531,124.223518371582,0
170,101.429139123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00134436995722353,45.2447853088379,110.863845825195,0
171,101.431319123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00144964980427176,54.6580276489258,97.3119659423828,0
172,101.433499123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00155767006799579,48.1573791503906,83.7600936889649,0
173,101.435679123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00166569033171982,44.2670593261719,70.2082138061524,0
174,101.437859123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00177034281659871,53.5346832275391,58.3022918701172,0
175,101.440039123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00185791880358011,60.2720184326172,52.357349395752,0
176,101.442219123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00194549490697682,61.1866607666016,46.4124069213867,0
177,101.444399123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.00203307089395821,47.3907203674316,40.4674644470215,0
178,101.446579123,22.578806619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.0020699929445982,8.26731872558594,36.7743949890137,0
179,100.781679123,22.576716619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.000978021416813135,60.363639831543,269.817108154297,0
180,100.783859123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000943575985729694,64.8967666625977,278.384246826172,0
181,100.786039123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000909130671061575,69.3591842651367,286.951354980469,0
182,100.788219123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000886815832927823,75.6681671142578,292.112396240234,0
183,100.790399123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000889143790118396,80.8322525024414,291.748870849609,0
184,100.792579123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00089147174730897,67.7242202758789,291.385345458984,0
185,100.794759123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000893799704499543,65.7150726318359,291.021820068359,0
186,100.796939123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000883871223777533,68.0511093139648,290.912689208984,0
187,100.799119123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000862036366015673,71.7275619506836,291.00439453125,0
188,100.801299123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000840201450046152,69.4626541137695,291.096130371094,0
189,100.803479123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000818366534076631,71.6763687133789,291.187866210938,0
190,100.805659123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000810166820883751,78.4016647338867,288.652740478516,0
191,100.807839123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000808248587418348,81.0864791870117,285.176086425781,0
192,100.810019123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000806330295745283,69.8671951293945,281.699401855469,0
193,100.812199123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000804412004072219,55.6405334472656,278.222717285156,0
194,100.814379123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000797943444922566,65.3809661865234,277.097503662109,0
195,100.927739123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000749975617509335,81.4662780761719,354.151489257813,0
196,100.929919123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000776600791141391,72.6194229125977,344.847778320313,0
197,100.932099123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000785635493230075,63.7394371032715,335.963562011719,0
198,100.934279123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000794670137111098,60.1739349365234,327.079376220703,0
199,100.936459123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000803704780992121,68.3744583129883,318.195159912109,0
200,100.938639123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000802634924184531,62.9689826965332,306.960754394531,0
201,100.940819123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000792331993579865,73.7788772583008,293.982666015625,0
202,100.942999123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000782029004767537,78.3826446533203,281.004577636719,0
203,100.945179123,22.576716619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000771726074162871,75.5231323242188,268.026489257813,0
204,100.947359123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000802127760834992,64.3106842041016,259.758666992188,0
205,100.949539123,22.576716619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000849982199724764,67.7754592895508,253.048797607422,0
